================================================================================
重复文件审核清单
================================================================================

【第一类】目录内重复文件（标准版 + 带前缀版并存，可删除带前缀版）
--------------------------------------------------------------------------------
共 28541 个目录，29414 个重复文件

序号     目录名                                      重复文件
12076  X16454_佛教四禅八定研究_17                       佛教四禅八定研究_原文.md
12077  X18003_陀罗尼集_21                           陀罗尼集_原文.md
12078  X12379_佛教四依止研究_9                         佛教四依止研究_原文.md
12079  X5666_佛教十六特胜研究_4                         佛教十六特胜研究_原文.md
12080  X12312_佛教四无量心研究_9                        佛教四无量心研究_原文.md
12081  X3270_佛教南传经典                             佛教南传经典_原文.md
12082  X7503_佛教藏传历史                             佛教藏传历史_原文.md
12083  X5705_佛教石窟_5                             佛教石窟_原文.md
12084  X23851_佛教安全心理学_32                        佛教安全心理学_原文.md
12085  X754_噶举派大手印玛尔巴传                          噶举派大手印玛尔巴传_原文.md
12086  X15021_佛教净土宗谱_15                         佛教净土宗谱_原文.md
12087  X16614_佛教藏传节日_18                         佛教藏传节日_原文.md
12088  X12866_佛教通明禅研究_10                        佛教通明禅研究_原文.md
12089  X20609_佛教净土往生传_26                        佛教净土往生传_原文.md
12090  X20412_佛教六度研究_25                         佛教六度研究_原文.md
12091  X15066_佛教密宗供养_15                         佛教密宗供养_原文.md
12092  X15810_佛教三十二应研究_16                       佛教三十二应研究_原文.md
12093  X18420_佛教四无色定研究_21                       佛教四无色定研究_原文.md
12094  X16415_佛教持息念研究_17                        佛教持息念研究_原文.md
12095  X13437_律藏补遗_12                           律藏补遗_原文.md
12096  X21224_佛教解构主义_27                         佛教解构主义_原文.md
12097  X5248_佛教禅宗语录_4                           佛教禅宗语录_原文.md
12098  X24401_佛教等觉研究_33                         佛教等觉研究_原文.md
12099  X12589_佛教老挝经典_10                         佛教老挝经典_原文.md
12100  X93_义释                                   义释_原文.md
12101  X19004_论藏精要_23                           论藏精要_原文.md
12102  X22275_佛教人工智能_29                         佛教人工智能_原文.md
12103  X9688_佛教积极心理学_4                          佛教积极心理学_原文.md
12104  X16619_佛教汉传禅修_18                         佛教汉传禅修_原文.md
12105  X4093_佛教通明禅研究_1                          佛教通明禅研究_原文.md
12106  X13074_佛教藏传建筑_11                         佛教藏传建筑_原文.md
12107  X5941_佛教心理治疗_5                           佛教心理治疗_原文.md
12108  X1984_佛教藏传节日_4                           佛教藏传节日_原文.md
12109  X20450_佛教十一切入研究_25                       佛教十一切入研究_原文.md
12110  X14748_佛教积极心理学_14                        佛教积极心理学_原文.md
12111  X15548_佛教净土感应_16                         佛教净土感应_原文.md
12112  X13707_佛教发展心理学_12                        佛教发展心理学_原文.md
12113  X1228_佛教密宗成就                             佛教密宗成就_原文.md
12114  X9223_佛教三身研究_3                           佛教三身研究_原文.md
12115  X7340_佛教汉传禅修_8                           佛教汉传禅修_原文.md
12116  X26902_佛教慈悲研究_38                         佛教慈悲研究_原文.md
12117  X20509_佛教八胜处研究_25                        佛教八胜处研究_原文.md
12118  X286_四分律讲记                               四分律讲记_原文.md
12118  X286_四分律讲记                               四分律讲记_解讀_學術.md
12118  X286_四分律讲记                               四分律讲记_解讀_白話.md
12119  X25213_佛教藏传历史_35                         佛教藏传历史_原文.md
12120  X20347_佛教十信研究_25                         佛教十信研究_原文.md
12121  X15691_佛教数据学_16                          佛教数据学_原文.md
12122  X14223_佛教消费心理学_13                        佛教消费心理学_原文.md
12123  X14108_佛教柬埔寨经典_13                        佛教柬埔寨经典_原文.md
12124  X26764_佛教韩国经典_38                         佛教韩国经典_原文.md
12125  X25265_佛教文体学_35                          佛教文体学_原文.md
12126  X8541_佛教老挝经典_2                           佛教老挝经典_原文.md
12127  X25570_佛教十遍处研究_35                        佛教十遍处研究_原文.md
12128  X23516_佛教四料拣研究_31                        佛教四料拣研究_原文.md
12129  X27856_佛教加密货币_40                         佛教加密货币_原文.md
12130  X25253_佛教考古学_35                          佛教考古学_原文.md
12131  X11322_佛教四无碍辩研究_7                        佛教四无碍辩研究_原文.md
12132  X101_事续总集                                事续总集_原文.md
12133  X10202_佛教觉知研究_5                          佛教觉知研究_原文.md
12134  X1494_净土经论_2                             净土经论_原文.md
12135  X19517_维摩诘经_24                           维摩诘经_原文.md
12136  X24873_佛教灵性心理学_34                        佛教灵性心理学_原文.md
12137  X17579_佛教密宗法器_20                         佛教密宗法器_原文.md
12138  X17653_佛教马来经典_20                         佛教马来经典_原文.md
12139  X5618_佛教持息念研究_4                          佛教持息念研究_原文.md
12140  X9508_佛教密宗愿_4                            佛教密宗愿_原文.md
12141  X19526_因明论书_24                           因明论书_原文.md
12142  X4176_戒律论书_2                             戒律论书_原文.md
12143  X9628_佛教神经网络_4                           佛教神经网络_原文.md
12144  X5112_佛教持息念研究_3                          佛教持息念研究_原文.md
12145  X14670_佛教宗教学_14                          佛教宗教学_原文.md
12146  X15339_佛教十六特胜研究_15                       佛教十六特胜研究_原文.md
12147  X6839_佛教汉传节日_7                           佛教汉传节日_原文.md
12148  X8246_佛教五根研究_1                           佛教五根研究_原文.md
12149  X21713_佛教目录学_28                          佛教目录学_原文.md
12150  X281_菩萨戒经疏                               菩萨戒经疏_原文.md
12150  X281_菩萨戒经疏                               菩萨戒经疏_解讀_學術.md
12150  X281_菩萨戒经疏                               菩萨戒经疏_解讀_白話.md
12151  X25051_佛教四梵住研究_34                        佛教四梵住研究_原文.md
12152  X11080_佛教俄罗斯经典_7                         佛教俄罗斯经典_原文.md
12153  X26438_佛教千二百五十人研究_37                     佛教千二百五十人研究_原文.md
12154  X11476_佛教禅宗灯录_8                          佛教禅宗灯录_原文.md
12155  X6868_佛教目录学_7                            佛教目录学_原文.md
12156  X25124_佛教寓言_35                           佛教寓言_原文.md
12157  X14974_大乘论书_15                           大乘论书_原文.md
12158  X27244_佛教汉传论书_39                         佛教汉传论书_原文.md
12159  X20154_佛教藏传寺院_25                         佛教藏传寺院_原文.md
12160  X3940_佛教投资心理学_1                          佛教投资心理学_原文.md
12161  X2408_佛教雕塑_7                             佛教雕塑_原文.md
12162  X6352_佛教日本经典_6                           佛教日本经典_原文.md
12163  X1460_佛教东亚经典_1                           佛教东亚经典_原文.md
12164  X6681_佛教慈悲观研究_6                          佛教慈悲观研究_原文.md
12165  X4359_佛教和平主义_2                           佛教和平主义_原文.md
12166  X9356_佛教四清净研究_3                          佛教四清净研究_原文.md
12167  X16998_大乘论书_19                           大乘论书_原文.md
12168  X455_法华论疏                                法华论疏_原文.md
12169  X19838_佛教佛果研究_24                         佛教佛果研究_原文.md
12170  X21658_佛教南传论书_28                         佛教南传论书_原文.md
12171  X580_南传中部                                南传中部_原文.md
12172  X3993_佛教四智研究_1                           佛教四智研究_原文.md
12173  X20112_佛教密宗真言_25                         佛教密宗真言_原文.md
12174  X4267_佛教密宗调伏_2                           佛教密宗调伏_原文.md
12175  X11446_佛教伦理_8                            佛教伦理_原文.md
12176  X19012_净土经论_23                           净土经论_原文.md
12177  X24874_佛教冥想研究_34                         佛教冥想研究_原文.md
12178  X17344_佛教四生研究_19                         佛教四生研究_原文.md
12179  X9315_佛教九想研究_3                           佛教九想研究_原文.md
12180  X17578_佛教密宗曼荼罗_20                        佛教密宗曼荼罗_原文.md
12181  X135_华严法界观门                              華嚴法界觀門_原文.md
12181  X135_华严法界观门                              華嚴法界觀門_解讀_學術.md
12181  X135_华严法界观门                              華嚴法界觀門_解讀_白話.md
12182  X13819_佛教九次第定研究_12                       佛教九次第定研究_原文.md
12183  X16457_佛教八念研究_17                         佛教八念研究_原文.md
12184  X14366_佛教四无所畏研究_13                       佛教四无所畏研究_原文.md
12185  X19665_佛教南亚经典_24                         佛教南亚经典_原文.md
12186  X6985_佛教创伤心理学_7                          佛教创伤心理学_原文.md
12187  X12468_佛教语言_10                           佛教语言_原文.md
12188  X8765_佛教因缘观研究_2                          佛教因缘观研究_原文.md
12189  X8128_佛教量子计算_1                           佛教量子计算_原文.md
12190  X23081_佛教寺院_31                           佛教寺院_原文.md
12191  X2731_佛教蒙古经典_8                           佛教蒙古经典_原文.md
12192  X7348_佛教东亚经典_8                           佛教东亚经典_原文.md
12193  X17889_佛教四依止研究_20                        佛教四依止研究_原文.md
12194  X16_说一切有部发智论                             说一切有部发智论_原文.md
12194  X16_说一切有部发智论                             说一切有部发智论_解讀_學術.md
12194  X16_说一切有部发智论                             说一切有部发智论_解讀_白話.md
12195  X1046_南传佛牙史注                             南传佛牙史注_原文.md
12196  X11696_佛教管理心理学_8                         佛教管理心理学_原文.md
12197  X4932_佛教心理测量_3                           佛教心理测量_原文.md
12198  X1766_佛教密宗神通_3                           佛教密宗神通_原文.md
12199  X53_巴利论藏注疏                               巴利论藏注疏_原文.md
12200  X6701_佛传故事_7                             佛传故事_原文.md
12201  X27111_陀罗尼集_39                           陀罗尼集_原文.md
12202  X5928_佛教智能合约_5                           佛教智能合约_原文.md
12203  X7725_佛教二十八宿研究                           佛教二十八宿研究_原文.md
12204  X5699_佛教地理_5                             佛教地理_原文.md
12205  X6906_佛教知识论_7                            佛教知识论_原文.md
12206  X7093_佛教四依法研究_7                          佛教四依法研究_原文.md
12207  X15622_佛教斯里兰卡经典_16                       佛教斯里兰卡经典_原文.md
12208  X16130_佛教泰国经典_17                         佛教泰国经典_原文.md
12209  X18204_佛教本体论_21                          佛教本体论_原文.md
12210  X10794_佛教四无量心研究_6                        佛教四无量心研究_原文.md
12211  X27379_佛教消费心理学_39                        佛教消费心理学_原文.md
12212  X20915_佛教四梵住研究_26                        佛教四梵住研究_原文.md
12213  X18974_佛教四自在研究_22                        佛教四自在研究_原文.md
12214  X2346_佛教汉传论书_6                           佛教汉传论书_原文.md
12215  X24431_佛教八正道研究_33                        佛教八正道研究_原文.md
12216  X20956_佛教十一切入研究_26                       佛教十一切入研究_原文.md
12217  X11826_佛教四安乐行研究_8                        佛教四安乐行研究_原文.md
12218  X14846_佛教六度研究_14                         佛教六度研究_原文.md
12219  X9945_佛教神话_5                             佛教神话_原文.md
12220  X15565_佛教密宗延寿_16                         佛教密宗延寿_原文.md
12221  X203_唯识述记                                唯识述记_原文.md
12221  X203_唯识述记                                唯识述记_解讀_學術.md
12221  X203_唯识述记                                唯识述记_解讀_白話.md
12222  X25342_佛教心理评估_35                         佛教心理评估_原文.md
12223  X14362_佛教四究竟研究_13                        佛教四究竟研究_原文.md
12224  X5910_佛教可视化_5                            佛教可视化_原文.md
12225  X20534_佛传故事_26                           佛传故事_原文.md
12226  X25830_佛教虚拟助手_36                         佛教虚拟助手_原文.md
12227  X27332_佛教图谱学_39                          佛教图谱学_原文.md
12228  X5814_佛教藏传历史_5                           佛教藏传历史_原文.md
12229  X27237_佛教藏传历史_39                         佛教藏传历史_原文.md
12230  X7666_佛教意义心理学                            佛教意义心理学_原文.md
12231  X22687_佛教藏传艺术_30                         佛教藏传艺术_原文.md
12232  X4029_佛教七觉支研究_1                          佛教七觉支研究_原文.md
12233  X2975_佛教女众传_10                           佛教女众传_原文.md
12234  X23859_佛教存在心理学_32                        佛教存在心理学_原文.md
12235  X18179_佛教语用学_21                          佛教语用学_原文.md
12236  X25723_佛教藏传艺术_36                         佛教藏传艺术_原文.md
12237  X20071_佛教高僧传_25                          佛教高僧传_原文.md
12238  X26957_佛教二十五有研究_38                       佛教二十五有研究_原文.md
12239  X26820_佛教网络学_38                          佛教网络学_原文.md
12240  X15554_佛教密宗曼荼罗_16                        佛教密宗曼荼罗_原文.md
12241  X13210_佛教运动心理学_11                        佛教运动心理学_原文.md
12242  X13473_佛教社会学_12                          佛教社会学_原文.md
12243  X3286_佛教藏传仪式                             佛教藏传仪式_原文.md
12244  X17436_佛教四无尽藏研究_19                       佛教四无尽藏研究_原文.md
12245  X9994_佛教密宗观想_5                           佛教密宗观想_原文.md
12246  X25767_佛教文字学_36                          佛教文字学_原文.md
12247  X2808_佛教法相宗谱_9                           佛教法相宗谱_原文.md
12248  X12086_佛教印尼经典_9                          佛教印尼经典_原文.md
12249  X18985_佛教九想研究_22                         佛教九想研究_原文.md
12250  X23438_佛教慈悲观研究_31                        佛教慈悲观研究_原文.md
12251  X28008_佛教四摄受研究_40                        佛教四摄受研究_原文.md
12252  X5776_佛教密宗修行_5                           佛教密宗修行_原文.md
12253  X1971_佛教南传历史_4                           佛教南传历史_原文.md
12254  X9435_佛教戏剧_4                             佛教戏剧_原文.md
12255  X20920_佛教十波罗蜜研究_26                       佛教十波罗蜜研究_原文.md
12256  X18054_佛教禅宗灯录_21                         佛教禅宗灯录_原文.md
12257  X11502_佛教密宗经典_8                          佛教密宗经典_原文.md
12258  X25605_佛教艺术_36                           佛教艺术_原文.md
12259  X9322_佛教十遍处研究_3                          佛教十遍处研究_原文.md
12260  X16931_佛教四弘誓愿研究_18                       佛教四弘誓愿研究_原文.md
12261  X20453_佛教八胜处研究_25                        佛教八胜处研究_原文.md
12262  X19337_佛教十行研究_23                         佛教十行研究_原文.md
12263  X25837_佛教边缘计算_36                         佛教边缘计算_原文.md
12264  X11273_佛教十二因缘研究_7                        佛教十二因缘研究_原文.md
12265  X3708_佛教高僧传_1                            佛教高僧传_原文.md
12266  X24318_佛教云计算_33                          佛教云计算_原文.md
12267  X27788_佛教训诂学_40                          佛教训诂学_原文.md
12268  X21922_佛教界分别观研究_28                       佛教界分别观研究_原文.md
12269  X25966_佛教通明禅研究_36                        佛教通明禅研究_原文.md
12270  X15498_佛教经济学_16                          佛教经济学_原文.md
12271  X24427_佛教二十五有研究_33                       佛教二十五有研究_原文.md
12272  X18430_佛教十遍处研究_21                        佛教十遍处研究_原文.md
12273  X16718_佛教语义网络_18                         佛教语义网络_原文.md
12274  X2403_佛教地理_7                             佛教地理_原文.md
12275  X4805_佛教藏传节日_3                           佛教藏传节日_原文.md
12276  X8960_佛教禅宗偈颂_3                           佛教禅宗偈颂_原文.md
12277  X11057_佛教汉传仪式_7                          佛教汉传仪式_原文.md
12278  X443_大乘起信论究竟疏                            大乘起信论究竟疏_原文.md
12278  X443_大乘起信论究竟疏                            大乘起信论究竟疏_解讀_學術.md
12278  X443_大乘起信论究竟疏                            大乘起信论究竟疏_解讀_白話.md
12279  X22611_佛教净土宗谱_30                         佛教净土宗谱_原文.md
12280  X9950_佛教灵验记_5                            佛教灵验记_原文.md
12281  X13129_佛教后现代_11                          佛教后现代_原文.md
12282  X19981_佛教四真实研究_24                        佛教四真实研究_原文.md
12283  X20905_佛教十六特胜研究_26                       佛教十六特胜研究_原文.md
12284  X24586_因明论书_34                           因明论书_原文.md
12285  X1904_佛教译经传_4                            佛教译经传_原文.md
12286  X9250_佛教四圣谛研究_3                          佛教四圣谛研究_原文.md
12287  X15397_佛教不净观研究_15                        佛教不净观研究_原文.md
12288  X8298_佛教四禅定研究_1                          佛教四禅定研究_原文.md
12289  X13765_佛教菩萨研究_12                         佛教菩萨研究_原文.md
12290  X20417_佛教四弘誓愿研究_25                       佛教四弘誓愿研究_原文.md
12291  X21267_佛教自然语言_27                         佛教自然语言_原文.md
12292  X8787_佛教四法印研究_2                          佛教四法印研究_原文.md
12293  X6667_佛教四无色定研究_6                         佛教四无色定研究_原文.md
12294  X869_观无量寿经疏注                             观无量寿经疏注_原文.md
12295  X14675_佛教媒体学_14                          佛教媒体学_原文.md
12296  X20636_佛教密宗精进_26                         佛教密宗精进_原文.md
12297  X3761_佛教密宗调伏_1                           佛教密宗调伏_原文.md
12298  X9472_佛教净土经典_4                           佛教净土经典_原文.md
12299  X21532_阿含经选_28                           阿含经选_原文.md
12300  X25800_佛教道德论_36                          佛教道德论_原文.md
12301  X13525_佛教净土往生传_12                        佛教净土往生传_原文.md
12302  X17767_佛教组织心理学_20                        佛教组织心理学_原文.md
12303  X15571_佛教密宗诛法_16                         佛教密宗诛法_原文.md
12304  X14158_佛教实践论_13                          佛教实践论_原文.md
12305  X28122_密宗仪轨_41                           密宗仪轨_原文.md
12306  X17699_佛教价值论_20                          佛教价值论_原文.md
12307  X14399_佛教四摄事研究_13                        佛教四摄事研究_原文.md
12308  X22666_佛教密宗智_30                          佛教密宗智_原文.md
12309  X5408_佛教深度学习_4                           佛教深度学习_原文.md
12310  X11409_佛教数息观研究_7                         佛教数息观研究_原文.md
12311  X9566_佛教世界经典_4                           佛教世界经典_原文.md
12312  X27914_佛教慈悲研究_40                         佛教慈悲研究_原文.md
12313  X25009_佛教十六特胜研究_34                       佛教十六特胜研究_原文.md
12314  X2441_佛教译经传_7                            佛教译经传_原文.md
12315  X23611_佛教感应录_32                          佛教感应录_原文.md
12316  X16568_佛教密宗护摩_18                         佛教密宗护摩_原文.md
12317  X2920_般若心经_10                            般若心经_原文.md
12318  X6782_佛教密宗法器_7                           佛教密宗法器_原文.md
12319  X24440_佛教七觉支研究_33                        佛教七觉支研究_原文.md
12320  X4181_佛教地理_2                             佛教地理_原文.md
12321  X2588_佛教石窟_8                             佛教石窟_原文.md
12322  X14418_佛教四究竟研究_13                        佛教四究竟研究_原文.md
12323  X7249_佛教灵验记_8                            佛教灵验记_原文.md
12324  X21430_佛教四摄受研究_27                        佛教四摄受研究_原文.md
12325  X5807_佛教南传节日_5                           佛教南传节日_原文.md
12326  X6416_佛教可视化_6                            佛教可视化_原文.md
12327  X7760_佛教四护净研究                            佛教四护净研究_原文.md
12328  X6732_佛教文学_7                             佛教文学_原文.md
12329  X21651_佛教密宗方便_28                         佛教密宗方便_原文.md
12330  X25774_佛教解释学_36                          佛教解释学_原文.md
12331  X3872_佛教美学_1                             佛教美学_原文.md
12332  X5381_佛教逻辑学_4                            佛教逻辑学_原文.md
12333  X26790_佛教解构主义_38                         佛教解构主义_原文.md
12334  X13908_佛教四无碍辩研究_12                       佛教四无碍辩研究_原文.md
12335  X21195_佛教马来经典_27                         佛教马来经典_原文.md
12336  X21759_佛教媒体学_28                          佛教媒体学_原文.md
12337  X18868_佛教八正道研究_22                        佛教八正道研究_原文.md
12338  X10865_佛教四照用研究_6                         佛教四照用研究_原文.md
12339  X66_本生注疏                                 本生注疏_原文.md
12340  X23240_佛教修辞学_31                          佛教修辞学_原文.md
12341  X11241_佛教十行研究_7                          佛教十行研究_原文.md
12342  X5781_佛教密宗招财_5                           佛教密宗招财_原文.md
12343  X9716_佛教缘觉研究_4                           佛教缘觉研究_原文.md
12344  X11601_佛教语用学_8                           佛教语用学_原文.md
12345  X27879_佛教健康心理学_40                        佛教健康心理学_原文.md
12346  X24969_佛教四摄事研究_34                        佛教四摄事研究_原文.md
12347  X24989_佛教四成就研究_34                        佛教四成就研究_原文.md
12348  X22891_佛教十八不共法研究_30                      佛教十八不共法研究_原文.md
12349  X5088_佛教四无碍研究_3                          佛教四无碍研究_原文.md
12350  X7336_佛教藏传艺术_8                           佛教藏传艺术_原文.md
12351  X23985_佛教四空定研究_32                        佛教四空定研究_原文.md
12352  X20773_佛教智能合约_26                         佛教智能合约_原文.md
12353  X11879_佛教四法印研究_8                         佛教四法印研究_原文.md
12354  X7246_佛教民间故事_8                           佛教民间故事_原文.md
12355  X22254_佛教实践论_29                          佛教实践论_原文.md
12356  X10811_佛教四法印研究_6                         佛教四法印研究_原文.md
12357  X6886_佛教后现代_7                            佛教后现代_原文.md
12358  X19682_佛教俄罗斯经典_24                        佛教俄罗斯经典_原文.md
12359  X6212_佛教寺院_6                             佛教寺院_原文.md
12360  X19242_佛教神经网络_23                         佛教神经网络_原文.md
12361  X3936_佛教领导心理学_1                          佛教领导心理学_原文.md
12362  X3206_佛教求法传                              佛教求法传_原文.md
12363  X20747_佛教媒体学_26                          佛教媒体学_原文.md
12364  X19956_佛教念佛观研究_24                        佛教念佛观研究_原文.md
12365  X3914_佛教心理物理学_1                          佛教心理物理学_原文.md
12366  X8618_佛教计算机视觉_2                          佛教计算机视觉_原文.md
12367  X22682_佛教藏传戒律_30                         佛教藏传戒律_原文.md
12368  X22805_佛教认知科学_30                         佛教认知科学_原文.md
12369  X23784_佛教网络学_32                          佛教网络学_原文.md
12370  X24293_佛教数据学_33                          佛教数据学_原文.md
12371  X10036_佛教藏传节日_5                          佛教藏传节日_原文.md
12372  X15909_佛教持息念研究_16                        佛教持息念研究_原文.md
12373  X24609_佛教医学_34                           佛教医学_原文.md
12374  X22280_佛教计算机视觉_29                        佛教计算机视觉_原文.md
12375  X289_禅宗正脉                                禅宗正脉_原文.md
12376  X3076_佛教印度经典_10                          佛教印度经典_原文.md
12377  X12976_佛教诗歌_11                           佛教诗歌_原文.md
12378  X17084_佛教密宗招财_19                         佛教密宗招财_原文.md
12379  X24993_佛教四无碍研究_34                        佛教四无碍研究_原文.md
12380  X8172_佛教意义心理学_1                          佛教意义心理学_原文.md
12381  X26053_佛教四真实研究_36                        佛教四真实研究_原文.md
12382  X19162_佛教印度经典_23                         佛教印度经典_原文.md
12383  X10607_佛教平等思想_6                          佛教平等思想_原文.md
12384  X25376_佛教意义心理学_35                        佛教意义心理学_原文.md
12385  X27547_佛教持息念研究_39                        佛教持息念研究_原文.md
12386  X11766_佛教十六罗汉研究_8                        佛教十六罗汉研究_原文.md
12387  X4837_佛教俄罗斯经典_3                          佛教俄罗斯经典_原文.md
12388  X23831_佛教健康心理学_32                        佛教健康心理学_原文.md
12389  X11635_佛教比较学_8                           佛教比较学_原文.md
12390  X25100_佛教音乐_35                           佛教音乐_原文.md
12391  X11952_佛教伦理_9                            佛教伦理_原文.md
12392  X13128_佛教解构主义_11                         佛教解构主义_原文.md
12393  X23454_佛教四摄受研究_31                        佛教四摄受研究_原文.md
12394  X19444_佛教通明禅研究_23                        佛教通明禅研究_原文.md
12395  X5520_佛教八十四相研究_4                         佛教八十四相研究_原文.md
12396  X16589_佛教密宗禅定_18                         佛教密宗禅定_原文.md
12397  X11105_佛教后现代_7                           佛教后现代_原文.md
12398  X22857_佛教解脱研究_30                         佛教解脱研究_原文.md
12399  X8774_佛教六度研究_2                           佛教六度研究_原文.md
12400  X20590_佛教三论宗谱_26                         佛教三论宗谱_原文.md
12401  X11665_佛教智能合约_8                          佛教智能合约_原文.md
12402  X25685_佛教密宗延寿_36                         佛教密宗延寿_原文.md
12403  X13661_佛教交流学_12                          佛教交流学_原文.md
12404  X4191_佛教伦理_2                             佛教伦理_原文.md
12405  X4057_佛教四依法研究_1                          佛教四依法研究_原文.md
12406  X11860_佛教念佛观研究_8                         佛教念佛观研究_原文.md
12407  X3008_佛教密宗仪轨_10                          佛教密宗仪轨_原文.md
12408  X17221_佛教语音识别_19                         佛教语音识别_原文.md
12409  X11274_佛教四圣谛研究_7                         佛教四圣谛研究_原文.md
12410  X21166_佛教藏传寺院_27                         佛教藏传寺院_原文.md
12411  X11087_佛教目录学_7                           佛教目录学_原文.md
12412  X10690_佛教金融心理学_6                         佛教金融心理学_原文.md
12413  X14587_佛教藏传历史_14                         佛教藏传历史_原文.md
12414  X24647_佛教禅宗语录_34                         佛教禅宗语录_原文.md
12415  X3409_佛教心理生理学                            佛教心理生理学_原文.md
12416  X8066_佛教存在主义_1                           佛教存在主义_原文.md
12417  X18407_佛教四真实研究_21                        佛教四真实研究_原文.md
12418  X11983_佛教天台宗谱_9                          佛教天台宗谱_原文.md
12419  X22537_佛教不净观研究_29                        佛教不净观研究_原文.md
12420  X7482_佛教密宗般若                             佛教密宗般若_原文.md
12421  X23796_佛教神经网络_32                         佛教神经网络_原文.md
12422  X17322_佛教六通研究_19                         佛教六通研究_原文.md
12423  X18642_佛教汉传论书_22                         佛教汉传论书_原文.md
12424  X24202_佛教藏传寺院_33                         佛教藏传寺院_原文.md
12425  X15347_佛教持息念研究_15                        佛教持息念研究_原文.md
12426  X24316_佛教去中心化_33                         佛教去中心化_原文.md
12427  X14498_佛教寓言_14                           佛教寓言_原文.md
12428  X9619_佛教数据学_4                            佛教数据学_原文.md
12429  X1803_佛教藏传寺院_3                           佛教藏传寺院_原文.md
12430  X3444_佛教康复心理学                            佛教康复心理学_原文.md
12431  X18587_佛教密宗论书_22                         佛教密宗论书_原文.md
12432  X8486_佛教密宗调伏_2                           佛教密宗调伏_原文.md
12433  X1153_佛教建筑                               佛教建筑_原文.md
12434  X4889_佛教传播学_3                            佛教传播学_原文.md
12435  X25558_佛教四禅定研究_35                        佛教四禅定研究_原文.md
12436  X2255_佛教感应录_6                            佛教感应录_原文.md
12437  X22671_佛教南传禅修_30                         佛教南传禅修_原文.md
12438  X5923_佛教智能代理_5                           佛教智能代理_原文.md
12439  X9280_佛教六度研究_3                           佛教六度研究_原文.md
12440  X11523_佛教密宗诛法_8                          佛教密宗诛法_原文.md
12441  X27085_佛教十遍处研究_38                        佛教十遍处研究_原文.md
12442  X7146_佛教四弘誓愿研究_7                         佛教四弘誓愿研究_原文.md
12443  X4312_佛教东亚经典_2                           佛教东亚经典_原文.md
12444  X6258_佛教禅宗公案_6                           佛教禅宗公案_原文.md
12445  X20870_佛教三十二应研究_26                       佛教三十二应研究_原文.md
12446  X313_章嘉国师文集                              章嘉国师文集_原文.md
12447  X6844_佛教南亚经典_7                           佛教南亚经典_原文.md
12448  X18227_佛教人工智能_21                         佛教人工智能_原文.md
12449  X13099_佛教马来经典_11                         佛教马来经典_原文.md
12450  X25725_佛教汉传经典_36                         佛教汉传经典_原文.md
12451  X17379_佛教四摄事研究_19                        佛教四摄事研究_原文.md
12452  X19579_佛教法相宗谱_24                         佛教法相宗谱_原文.md
12453  X46_大阿罗汉难提蜜多罗所说法住记                       大阿罗汉难提蜜多罗所说法住记_原文.md
12454  X2579_小乘论书_8                             小乘论书_原文.md
12455  X9965_佛教法相宗谱_5                           佛教法相宗谱_原文.md
12456  X6913_佛教传播学_7                            佛教传播学_原文.md
12457  X22110_佛教成实宗谱_29                         佛教成实宗谱_原文.md
12458  X2625_佛教净土宗谱_8                           佛教净土宗谱_原文.md
12459  X15200_佛教语义网络_15                         佛教语义网络_原文.md
12460  X13328_佛教六度研究_11                         佛教六度研究_原文.md
12461  X7368_般若心经                               般若心经_原文.md
12462  X27091_佛教不净观研究_38                        佛教不净观研究_原文.md
12463  X17750_佛教心理治疗_20                         佛教心理治疗_原文.md
12464  X26504_佛教四清净研究_37                        佛教四清净研究_原文.md
12465  X26058_佛教四自在研究_36                        佛教四自在研究_原文.md
12466  X7693_佛教菩萨研究                             佛教菩萨研究_原文.md
12467  X24743_佛教欧美经典_34                         佛教欧美经典_原文.md
12468  X75_無量壽經優婆提舍願生偈                          無量壽經優婆提舍願生偈_原文.md
12468  X75_無量壽經優婆提舍願生偈                          無量壽經優婆提舍願生偈_解讀_學術.md
12468  X75_無量壽經優婆提舍願生偈                          無量壽經優婆提舍願生偈_解讀_白話.md
12469  X23822_佛教心理治疗_32                         佛教心理治疗_原文.md
12470  X27545_佛教数息观研究_39                        佛教数息观研究_原文.md
12471  X839_苯教灌顶仪轨心髓                            苯教灌顶仪轨心髓_原文.md
12472  X11133_佛教媒体学_7                           佛教媒体学_原文.md
12473  X11415_禅修指南_8                            禅修指南_原文.md
12474  X5635_佛教四料拣研究_4                          佛教四料拣研究_原文.md
12475  X24077_菩萨行论_33                           菩萨行论_原文.md
12476  X2013_佛教日本经典_4                           佛教日本经典_原文.md
12477  X1032_南传清净道论注                            南传清净道论注_原文.md
12478  X15582_佛教密宗智_16                          佛教密宗智_原文.md
12479  X23153_佛教密宗神通_31                         佛教密宗神通_原文.md
12480  X4342_佛教翻译学_2                            佛教翻译学_原文.md
12481  X11336_佛教四无色定研究_7                        佛教四无色定研究_原文.md
12482  X6669_佛教四禅八定研究_6                         佛教四禅八定研究_原文.md
12483  X22612_佛教密宗谱_30                          佛教密宗谱_原文.md
12484  X1730_佛教净土宗谱_3                           佛教净土宗谱_原文.md
12485  X22660_佛教密宗精进_30                         佛教密宗精进_原文.md
12486  X26277_佛教文体学_37                          佛教文体学_原文.md
12487  X1160_佛教伦理                               佛教伦理_原文.md
